event_id,name,date
264,"UFC Fight Night: Gustafsson vs Manuwa",2014-03-08
265,"UFC 171: Hendricks vs Lawler",2014-03-15
266,"UFC Fight Night: Shogun vs Henderson 2",2014-03-23
267,"UFC Fight Night: Minotauro vs Nelson",2014-04-11
268,"UFC Fight Night: Bisping vs Kennedy",2014-04-16
269,"UFC on FOX: Werdum vs Browne",2014-04-19
270,"UFC 172: Jones vs Teixeira",2014-04-26
271,"UFC Fight Night: Brown vs Silva",2014-05-10
272,"UFC 173: Barao vs Dillashaw",2014-05-24
273,"UFC Fight Night: Munoz vs Mousasi",2014-05-31
274,"UFC Fight Night: Miocic vs Maldonado",2014-05-31
275,"UFC Fight Night: Henderson vs Khabilov",2014-06-07
276,"UFC 174: Johnson vs Bagautinov",2014-06-14
277,"UFC Fight Night: Te Huna vs Marquardt",2014-06-28
278,"UFC Fight Night: Swanson vs Stephens",2014-06-28
279,"UFC 175: Weidman vs Machida",2014-07-05
280,"The Ultimate Fighter: Team Edgar vs. Team Penn Finale",2014-07-06
281,"UFC Fight Night: Cowboy vs Miller",2014-07-16
282,"UFC Fight Night: McGregor vs Brandao",2014-07-19
283,"UFC on FOX: Lawler vs Brown",2014-07-26
284,"UFC Fight Night: Bader vs Saint Preux",2014-08-16
285,"UFC Fight Night: Bisping vs Le",2014-08-23
286,"UFC Fight Night: Henderson vs Dos Anjos",2014-08-23
287,"UFC 177: Dillashaw vs Soto",2014-08-30
288,"UFC Fight Night: Jacare vs Mousasi",2014-09-05
289,"UFC Fight Night: Bigfoot vs Arlovski",2014-09-13
290,"UFC Fight Night: Hunt vs Nelson",2014-09-20
291,"UFC 178: Johnson vs Cariaso",2014-09-27
292,"UFC Fight Night: Nelson vs Story",2014-10-04
293,"UFC Fight Night: MacDonald vs Saffiedine",2014-10-04
294,"UFC 179: Aldo vs Mendes 2",2014-10-25
295,"UFC Fight Night: Rockhold vs Bisping",2014-11-07
296,"UFC Fight Night 56: Shogun vs Saint Preux",2014-11-08
297,"UFC 180: Werdum vs Hunt",2014-11-15
298,"UFC Fight Night: Edgar vs Swanson",2014-11-22
299,"UFC 181: Hendricks vs Lawler II",2014-12-06
300,"The Ultimate Fighter: A Champion Will Be Crowned Finale",2014-12-12
301,"UFC on FOX: Dos Santos vs Miocic",2014-12-13
302,"UFC Fight Night: Machida vs Dollaway",2014-12-20
303,"UFC 182: Jones vs Cormier",2015-01-03
304,"UFC Fight Night: McGregor vs Siver",2015-01-18
305,"UFC on FOX: Gustafsson vs Johnson",2015-01-24
306,"UFC 183: Silva vs Diaz",2015-01-31
307,"UFC Fight Night: Henderson vs Thatch",2015-02-14
308,"UFC Fight Night: Bigfoot vs Mir",2015-02-22
309,"UFC 184: Rousey vs Zingano",2015-02-28
310,"UFC 185: Pettis vs Dos Anjos",2015-03-14
311,"UFC Fight Night: Maia vs LaFlare",2015-03-21
312,"UFC Fight Night: Mendes vs Lamas",2015-04-04
313,"UFC Fight Night: Gonzaga vs Cro Cop 2",2015-04-11
314,"UFC on FOX: Machida vs Rockhold",2015-04-18
315,"UFC 186: Johnson vs Horiguchi",2015-04-25
316,"UFC Fight Night: Miocic vs Hunt",2015-05-09
317,"UFC Fight Night: Edgar vs Faber",2015-05-16
318,"UFC 187: Johnson vs Cormier",2015-05-23
319,"UFC Fight Night: Condit vs Alves",2015-05-30
320,"UFC Fight Night: Boetsch vs Henderson",2015-06-06
321,"UFC 188: Velasquez vs Werdum",2015-06-13
322,"UFC Fight Night: Jedrzejczyk vs Penne",2015-06-20
323,"UFC Fight Night: Machida vs Romero",2015-06-27
324,"UFC 189: Mendes vs McGregor",2015-07-11
325,"The Ultimate Fighter: American Top Team vs. Blackzilians Finale",2015-07-12
326,"UFC Fight Night: Mir vs Duffee",2015-07-15
327,"UFC Fight Night: Bisping vs Leites",2015-07-18
328,"UFC on FOX: Dillashaw vs. Barao II",2015-07-25
329,"UFC 190: Rousey vs Correia",2015-08-01
330,"UFC Fight Night: Teixeira vs Saint Preux",2015-08-08
331,"UFC Fight Night: Holloway vs Oliveira",2015-08-23
332,"UFC 191: Johnson vs Dodson 2",2015-09-05
333,"UFC Fight Night: Barnett vs Nelson",2015-09-26
334,"UFC 192: Cormier vs Gustafsson",2015-10-03
335,"UFC Fight Night: Holohan vs Smolka",2015-10-24
336,"UFC Fight Night: Belfort vs Henderson 3",2015-11-07
337,"UFC 193: Rousey vs Holm",2015-11-14
338,"UFC Fight Night: Magny vs Gastelum",2015-11-21
339,"UFC Fight Night: Henderson vs Masvidal",2015-11-28
340,"UFC Fight Night: Namajunas vs. VanZant",2015-12-10
341,"The Ultimate Fighter: Team McGregor vs. Team Faber Finale",2015-12-11
342,"UFC 194: Aldo vs McGregor",2015-12-12
343,"UFC on FOX: Dos Anjos vs. Cowboy 2",2015-12-19
344,"UFC 195: Lawler vs Condit",2016-01-02
345,"UFC Fight Night: Dillashaw vs Cruz",2016-01-17
346,"UFC on FOX: Johnson vs. Bader",2016-01-30
347,"UFC Fight Night: Hendricks vs Thompson",2016-02-06
348,"UFC Fight Night: Cowboy vs Cowboy",2016-02-21
349,"UFC Fight Night: Silva vs Bisping",2016-02-27
350,"UFC 196: McGregor vs Diaz",2016-03-05
351,"UFC Fight Night: Hunt vs Mir",2016-03-19
352,"UFC Fight Night: Rothwell vs Dos Santos",2016-04-10
353,"UFC on FOX: Teixeira vs Evans",2016-04-16
354,"UFC 197: Jones vs Saint Preux",2016-04-23
355,"UFC Fight Night: Overeem vs Arlovski",2016-05-08
356,"UFC 198: Werdum vs Miocic",2016-05-14
357,"UFC Fight Night: Almeida vs Garbrandt",2016-05-29
358,"UFC 199: Rockhold vs. Bisping 2",2016-06-04
359,"UFC Fight Night: MacDonald vs Thompson",2016-06-18
360,"UFC Fight Night: Dos Anjos vs. Alvarez",2016-07-07
361,"The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale",2016-07-08
362,"UFC 200: Tate vs Nunes",2016-07-09
363,"UFC Fight Night: McDonald vs. Lineker",2016-07-13
364,"UFC on FOX: Holm vs. Shevchenko",2016-07-23
365,"UFC 201: Lawler vs. Woodley",2016-07-30
366,"UFC Fight Night: Rodriguez vs. Caceres",2016-08-06
367,"UFC 202: Diaz vs. McGregor 2",2016-08-20
368,"UFC on FOX: Maia vs. Condit",2016-08-27
369,"UFC Fight Night: Arlovski vs. Barnett",2016-09-03
370,"UFC 203: Miocic vs. Overeem",2016-09-10
371,"UFC Fight Night: Poirier vs. Johnson",2016-09-17
372,"UFC Fight Night: Cyborg vs. Lansberg",2016-09-24
373,"UFC Fight Night: Lineker vs. Dodson",2016-10-01
374,"UFC 204: Bisping vs. Henderson",2016-10-08
375,"UFC Fight Night: Dos Anjos vs. Ferguson",2016-11-05
376,"UFC 205: Alvarez vs McGregor",2016-11-12
377,"UFC Fight Night: Mousasi vs. Hall 2",2016-11-19
378,"UFC Fight Night: Bader vs. Nogueira",2016-11-19
379,"UFC Fight Night: Whittaker vs. Brunson",2016-11-26
380,"The Ultimate Fighter: Tournament of Champions Finale",2016-12-03
381,"UFC Fight Night: Lewis vs. Abdurakhimov",2016-12-09
