id,fighter_id,strikingVolume,strikingSuccess,strikingDefense,knockdownsPerMin,grappingSuccess,grapplingDefense,finishingAbility,controlDominance,weightclass
451,2246,0.12980381840412658,-0.06867535513378147,0.16396620529548905,-0.22089972935731816,-1.0092134077246593,0.6403945229869036,-0.28153110945575394,-0.4697070905677327,Flyweight
452,2247,-0.0011684009014190156,1.1589879029898782,-0.33264589693265606,-1.0236768888136523,1.8172377710903027,1.50770407984372,-0.25082086778301316,-0.1726249670978027,Welterweight
453,2248,0.5048632186924884,-0.22655477005872351,0.3403604252054928,-0.6626572635372093,-0.7657050841104082,-0.9705648662232804,-1.139884091878533,-0.2451973072421208,Bantamweight
454,2249,-0.20447931845012865,-0.7341344804935803,-0.006730767355019636,-0.15757663963600613,-0.8028954575633483,-1.4239326888618944,1.6198112852899764,-0.2764397699121757,Light Heavyweight
455,2250,-1.5630887108906806,-0.05630060893331521,-1.5504800807330315,-0.24287219866313045,1.9368253922617125,-0.9455021443368045,1.284687520969234,0.22559290876819096,Flyweight
456,2251,1.2989715878788783,1.5265005186516765,0.3104967690875009,-0.6336756314422669,2.1788523080215954,,0.5587856958189475,3.378832379687886,Middleweight
457,2252,-0.2175573590332679,-1.113525161344662,0.8366331693257375,0.3157831653928611,-0.8768364776543095,-0.5436111306579203,-0.6539749897210857,-0.19776358014847573,Middleweight
458,2253,-1.1927363733500278,-0.9503319087054847,-0.9381583786545902,-0.6336756314422669,2.7759058639906677,1.3637242091669382,-0.6539749897210857,-0.1464716337901139,Middleweight
459,2254,-0.7100621024438062,0.716533597488115,-0.7800136384271237,0.06708759844337467,1.3977778190476764,0.043993171385972814,1.1967242749226294,0.7153157761165272,Welterweight
460,2255,-0.8286973847638086,0.31663356443977725,-0.4878614196952271,-0.5040815104542435,-0.28586927537167145,0.2718604083881728,-0.7669657551399585,-0.31088264249135056,Women's Strawweight
461,2256,0.15894402824577036,-1.0928919786418492,0.9727042429501463,0.09169603516674571,1.1997041747049106,-1.1066795193549266,0.6554559607643773,0.8566498843493489,Bantamweight
462,2257,-0.9237708662934507,-0.8641685682017021,-0.5612204726400297,-0.40794920139435353,1.6395806433437743,0.04326128159588224,-0.22084617345678803,-0.07076035961240698,Middleweight
463,2259,0.8115352646622894,-0.5322964987418961,1.308139481785731,-1.0236768888136523,-0.4550275858462683,0.3924957686378172,-1.2847816840013293,-0.2318627984467539,Welterweight
464,2260,0.5983916331106274,-0.25499163175216844,0.6559994362811838,-0.652412604535516,,2.165435404676191,-0.5525641331335486,-0.3511710233999154,Heavyweight
465,2261,-0.36020892510902597,0.37606757918440686,-0.5294716734681484,-0.17519441710288455,-1.2003195509368514,1.2989803558151356,-1.2375097203499246,-0.24622599143374266,Lightweight
466,2262,0.6162844938861087,0.4024246416392657,0.12522488373406304,0.9913992771668038,-0.9543231821212503,0.8571658983069432,-0.25082086778301316,-0.3660412287611151,Welterweight
467,2264,-0.9519720780951462,-0.3906785487139676,-0.9155987381793678,0.5507397639468995,-0.8533393385615087,2.4835113521488843,-1.2847816840013293,-0.12256162331363131,Welterweight
468,2266,-0.23148155041870974,0.47489817590415145,-0.30426585941103823,-0.4280294891169194,,-0.1966064958783866,0.04092566739644973,-0.4831274850673614,Flyweight
469,2267,-0.5870313159813605,-0.39280350659896957,-0.8612649976915121,-0.09231607217994171,-0.7798179443241967,0.6083651101038138,-1.139884091878533,-0.4606987938602386,Bantamweight
470,2268,0.8645752475125924,1.4454771260852446,0.9412057995456012,0.7520467089655313,0.6062395580552389,-0.8360432467533229,2.2594640796252237,-0.1259325925909847,Lightweight
471,2269,0.4611925166067387,-0.5863009914850049,0.13087520171093234,-0.23331926276123113,0.28461466781170774,-0.504975292302441,0.17912142890453683,-0.23879558585045071,Flyweight
472,2270,-0.3725984137269022,1.5754134541837261,-0.783549566508086,-0.03334128548051373,1.8358061890684054,1.0985424491026414,1.284687520969234,1.174539090741723,Flyweight
473,2272,-0.2662881696036018,-0.8589545325879948,0.8243041671641905,0.10710815122964201,-0.9735505324289695,0.1664837250581544,-0.31215699982239187,-0.546062334282987,Featherweight
474,2273,-0.3496374334831894,-0.22503043435503386,-0.9396080299302828,0.032505883107001254,-0.3240181069730464,1.9169342410633892,2.0378479095920086,-0.5055234224889442,Women's Flyweight
475,2275,-0.029745470992677114,0.3792130215574886,-1.1057684539947819,-0.8465394256799571,0.7337976114717724,-0.8132128943693365,-1.1261626956685098,-0.34521741536079853,Featherweight
476,2276,-0.060190999432692634,0.532086361957344,-0.1566976631605906,-0.39460151932425735,0.05801116404913318,0.6069589054081834,-0.5954744731891188,-0.19000471244789152,Welterweight
477,2277,0.9596450345270967,-0.5663305185163777,0.20062567787663194,0.27010708313940107,,0.18294529083616848,-0.304983373689885,-0.24890675799900555,Lightweight
478,2278,-0.7968793635600416,-0.9396309785975765,0.1743446739585683,0.06344701146597147,-1.0888193498734509,-1.07945920661593,0.595422994631804,0.1923397564707381,Women's Flyweight
479,2279,0.2185093867353167,-0.0428895537193813,0.5819760221760448,0.05271426919799964,0.6961803803032443,-0.25117641269777635,-0.31215699982239187,-0.01085268592748585,Featherweight
480,2280,2.495896752974913,-0.2544077672210967,3.5572207109069005,-0.5040815104542435,-1.246484604989194,2.274805952432105,-0.7669657551399585,0.549716241189106,Women's Strawweight
